# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
བདག་ནོན་ཏེ	bdag non te
བདག་གནོད	bdag gnod
བདག་གནོད་བྱ་ཕྱིར	bdag gnod bya phyir
བདག་རྣམ་པར་ཤེས་པ་དང་ལྡན	bdag rnam par shes pa dang ldan
བདག་རྣམ་པར་ཤེས་པ་ཡིན	bdag rnam par shes pa yin
བདག་པོ་དང་འདྲ	bdag po dang 'dra
བདག་པོ་བྱེད	bdag po byed
བདག་པོ་མེད	bdag po med
བདག་པོ་མེད་པ	bdag po med pa
བདག་པོར་གྱུར་པ	bdag por gyur pa
བདག་ཕན་བརྩོན་པ	bdag phan brtson pa
བདག་ཕྱིར	bdag phyir
བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ	bdag byin gyis brlab pa'i rim pa rnam par dbye ba
བདག་བློ	bdag blo
བདག་དབང་བ	bdag dbang ba
བདག་དབང་མིན	bdag dbang min
བདག་མི་བདེ	bdag mi bde
བདག་མིན	bdag min
བདག་མིའི་ཆོས་བླ་མ་དང་ལྡན་པར་སྨྲས་པ	bdag mi'i chos bla ma dang ldan par smras pa
བདག་མེད་ཀུན་བཟང	bdag med kun bzang
བདག་མེད་ཆོས་མཁས	bdag med chos mkhas
བདག་མེད་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས	bdag med rnal 'byor ma'i sgrub thabs
བདག་མེད་པ་གཉིས	bdag med pa gnyis
བདག་མེད་པ་དྲིས་པ	bdag med pa dris pa
བདག་མེད་པ་ཡི་སེམས་ཀྱི་ས་ཤེས་ན	bdag med pa yi sems kyi sa shes na
བདག་མེད་པའི་དངོས་པོ	bdag med pa'i dngos po
བདག་མེད་མ་རྐྱང་པའི་སྒྲུབ་ཐབས	bdag med ma rkyang pa'i sgrub thabs
བདག་མེད་མ་གཅིག་བུའི་སྒྲུབ་པའི་ཐབས	bdag med ma gcig bu'i sgrub pa'i thabs
བདག་མེད་མ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས	bdag med ma zhes bya ba'i sgrub pa'i thabs
བདག་མེད་མ་གསལ་བ	bdag med ma gsal ba
བདག་མེད་མ་ལྷ་མོ་བཅོ་ལྔ་ལ་བསྟོད་པ	bdag med ma lha mo bco lnga la bstod pa
བདག་མེད་མའི་དཀྱིལ་འཁོར་གྱི་འཁོར་ལོའི་སྒྲུབ་ཐབས	bdag med ma'i dkyil 'khor gyi 'khor lo'i sgrub thabs
བདག་མེད་མའི་སྒྲུབ་ཐབས	bdag med ma'i sgrub thabs
བདག་མེད་མའི་སྒྲུབ་ཐབས་རྒྱས་པར་བསྟན་པ	bdag med ma'i sgrub thabs rgyas par bstan pa
བདག་མེད་མའི་སྒྲུབ་པའི་ཐབས	bdag med ma'i sgrub pa'i thabs
བདག་མེད་མའི་མན་ངག	bdag med ma'i man ngag
བདག་མེད་མའི་རབ་ཏུ་གསལ་བ	bdag med ma'i rab tu gsal ba
བདག་མེད་སྨྲ	bdag med smra
བདག་མེད་བཟོད་པ	bdag med bzod pa
བདག་མོ	bdag mo
སྐྱེ་དགུའི་⟨~~che⟩	skye dgu'i [⟨~~che⟩]
བདག་མོ་ཆེན་པོ	bdag mo chen po
བདག་མོ་ཆེན་མོ	bdag mo chen mo
བདག་ཚོར་བ་དང་ལྡན	bdag tshor ba dang ldan
བདག་ཚོར་བ་ཡིན	bdag tshor ba yin
བདག་འཛིན་ཡོངས་སུ་དོར་བ	bdag 'dzin yongs su dor ba
བདག་བཞིན	bdag bzhin
བདག་གཟུགས་དང་ལྡན་ཏེ་རྒྱན་དང་འདྲ	bdag gzugs dang ldan te rgyan dang 'dra
བདག་གཟུགས་ཡིན་ཏེ་བདག་པོ་དང་འདྲ	bdag gzugs yin te bdag po dang 'dra
བདག་ཡིད	bdag yid
བདག་ཡོད	bdag yod
བདག་ལ	bdag la
བདག་ལ་བསྟོད་ཅིང	bdag la bstod cing
བདག་ལ་བསྟོད་པ	bdag la bstod pa
བདག་ལ་གནོད་པ	bdag la gnod pa
བདག་ལ་ཕན་པ	bdag la phan pa
བདག་ལ་ཕན་ཕྱིར	bdag la phan phyir
བདག་ལ་མི་བསྟོད	bdag la mi bstod
བདག་ལ་རྨོངས་པའི་འབད་པ	bdag la rmongs pa'i 'bad pa
བདག་ལ་བཤད	bdag la bshad
བདག་ལ་སེམས་པ་གཅིག་པུ་ཡིས	bdag la sems pa gcig pu yis
བདག་ལས	bdag las
བདག་ལས་སྐྱེས་པའི་འཁྲུལ་མ་མཐོང	bdag las skyes pa'i 'khrul ma mthong
བདག་ལུས་བཞིན	bdag lus bzhin
བདག་ཤེས་པ	bdag shes pa
བདག་གསོད	bdag gsod
བདག་བསྲུང་བའི་གཟུངས	bdag bsrung ba'i gzungs
བདམས་པ	bdams pa
བདའ	bda'
གོས་དྲི་རབ་ཏུ་⟨~~⟩	gos dri rab tu [⟨~~⟩]
མཚོན་གྱིས་⟨~~med⟩་ལ	mtshon gyis [⟨~~med⟩] la
བདར	bdar
བདར་བ	bdar ba
བདར་འོས	bdar 'os
བདལ་བ	bdal ba
བདལ་བར་གྱུར་པ	bdal bar gyur pa
ཉི་གདུགས་⟨~~⟩	nyi gdugs [⟨~~⟩]
བདས་བདའ་བ	bdas bda' ba
བདས་ཏེ	bdas te
ལས་ཀྱིས་⟨~~⟩	las kyis [⟨~~⟩]
བདུག་པ་སྒྲོལ་མ	bdug pa sgrol ma
བདུག་པར་བགྱི	bdug par bgyi
བདུག་སྤོས་ཀྱི་བདུག་པ	bdug spos kyi bdug pa
བདུག་སྤོས་དམ་པ	bdug spos dam pa
བདུག་ཤིང	bdug shing
བདུགས་བདུག་པ	bdugs bdug pa
བདུགས་པར་བགྱི	bdugs par bgyi
བདུགས་མ་ཐག་ཏུ	bdugs ma thag tu
བདུང་བ	bdung ba
བདུད་ཀྱི་དཀྱིལ་འཁོར་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་ཡེ་ཤེས་ཀྱི་ཕྱག་རྒྱ	bdud kyi dkyil 'khor thams cad rnam par 'joms pa'i ye shes kyi phyag rgya
བདུད་ཀྱི་དགའ་མ	bdud kyi dga' ma
བདུད་ཀྱི་སྟོབས	bdud kyi stobs
བདུད་ཀྱི་ཐིབས་ཀྱིས་ནོན་པ	bdud kyi thibs kyis non pa
བདུད་ཀྱི་དཔུང་འཇོམས་རྡོ་རྗེའི་སྡེ	bdud kyi dpung 'joms rdo rje'i sde
བདུད་ཀྱི་བུ་མོ་⟨--⟩	bdud kyi bu mo [⟨--⟩]
བདུད་ཀྱི་ཡུལ་ཐམས་ཅད་ལས་ཡང་དག་པར་འདས་པ	bdud kyi yul thams cad las yang dag par 'das pa
བདུད་ཀྱི་ལམ	bdud kyi lam
བདུད་ཀྱི་ལམ་ལས་ཡང་དག་པར་འདའ་བ	bdud kyi lam las yang dag par 'da' ba
བདུད་ཀྱི་ལས	bdud kyi las
བདུད་ཀྱི་ལས་ལས་ཡང་དག་པར་འདས་པ	bdud kyi las las yang dag par 'das pa
བདུད་ཀྱིས་ལེན	bdud kyis len
བདུད་དཀྱིལ་འཁོར་ཐམས་ཅད་རྣམ་པར་འཇོམ་པའི་ཡེ་ཤེས་ཀྱི་ཕྱག་རྒྱ	bdud dkyil 'khor thams cad rnam par 'jom pa'i ye shes kyi phyag rgya
བདུད་རྒྱལ	bdud rgyal
བདུད་འཇོམས་མ་སྒྲོལ་མ་⟨~~⟩	bdud 'joms ma sgrol ma [⟨~~⟩]
བདུད་བཏུལ་བ་ལ་བསྟོད་པ	bdud btul ba la bstod pa
བདུད་ཐམས་ཅད་ཀྱིས	bdud thams cad kyis
བདུད་ཐམས་ཅད་སྐྲག་པར་བྱེད་པ	bdud thams cad skrag par byed pa
བདུད་ཐམས་ཅད་ཡོངས་སུ་སྤངས་པ	bdud thams cad yongs su spangs pa
བདུད་འཐུལ	bdud 'thul
བདུད་དག་འདུལ་བར་མཛད་པ་པོ	bdud dag 'dul bar mdzad pa po
བདུད་དང་བཅས་པ	bdud dang bcas pa
བདུད་དང་ཕྱིར་རྒོལ་བ་ཐམས་ཅད་བཅོམ་པ	bdud dang phyir rgol ba thams cad bcom pa
བདུད་དང་ཡིད་གཉིས་ཀུན་འཇོམས་སངས་རྒྱས་⟨~~⟩	bdud dang yid gnyis kun 'joms sangs rgyas [⟨~~⟩]
བདུད་གདུལ་བ	bdud gdul ba
བདུད་འདུལ	bdud 'dul
བདུད་འདུལ་གདན	bdud 'dul gdan
བདུད་འདུལ་བ	bdud 'dul ba
བདུད་སྡེའི་དཔུང་འཇོམས་རྒྱལ་བ་དཔའ་བོའི་སྡེ	bdud sde'i dpung 'joms rgyal ba dpa' bo'i sde
བདུད་སྤོང	bdud spong
བདུད་མོ	bdud mo
བདུད་མོ་རེ་མ་ཏི	bdud mo re ma ti
བདུད་རྩི་སྐྱེས	bdud rtsi skyes
བདུད་རྩི་འཁྱིལ	bdud rtsi 'khyil
བདུད་རྩི་འཁྱིལ་པ	bdud rtsi 'khyil pa
བདུད་རྩི་འཁྱིལ་པ་ལ་ཕྱག་འཚལ་ལོ	bdud rtsi 'khyil pa la phyag 'tshal lo
བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས	bdud rtsi 'khyil pa'i sgrub thabs
བདུད་རྩི་གྲུབ་པའི་རྩ་བ	bdud rtsi grub pa'i rtsa ba
བདུད་རྩི་ཅན	bdud rtsi can
བདུད་རྩི་ཆར་ལྡན	bdud rtsi char ldan
བདུད་རྩི་འཆང་⟨(ba)⟩	bdud rtsi 'chang [⟨(ba)⟩]
བདུད་རྩི་བརྗོད་པ	bdud rtsi brjod pa
བདུད་རྩི་ཐབ་སྦྱོར་གྱི་སྙིང་པོ་བཞི་པ	bdud rtsi thab sbyor gyi snying po bzhi pa
བདུད་རྩི་ཐབ་སྦྱོར་ཞེས་བྱ་བ་ཁྲོ་བོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཟབ་མོ	bdud rtsi thab sbyor zhes bya ba khro bo bzhi'i dkyil 'khor du dbang bskur ba'i cho ga zab mo
བདུད་རྩི་ཐབས་སྦྱོར	bdud rtsi thabs sbyor
བདུད་རྩི་ཐུན་མཚམས	bdud rtsi thun mtshams
བདུད་རྩི་བུམ་པའི་ལུང	bdud rtsi bum pa'i lung
བདུད་རྩི་བྱིན་གྱིས་བརླབ་པ	bdud rtsi byin gyis brlab pa
བདུད་རྩི་འབྱུང་བ	bdud rtsi 'byung ba
བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག	bdud rtsi 'byung ba zhes bya ba'i gtor ma'i cho ga
བདུད་རྩི་མ	bdud rtsi ma
བདུད་རྩི་མཚུངས	bdud rtsi mtshungs
བདུད་རྩི་འཛག	bdud rtsi 'dzag
བདུད་རྩི་འཛག་པ	bdud rtsi 'dzag pa
བདུད་རྩི་ཟ	bdud rtsi za
བདུད་རྩི་ཟས	bdud rtsi zas
བདུད་རྩི་འོ་མའི་མཆོད་པ	bdud rtsi 'o ma'i mchod pa
བདུད་རྩི་འོད	bdud rtsi 'od
བདུད་རྩི་འོད་ཟེར་ཅན	bdud rtsi 'od zer can
བདུད་རྩི་རིལ་བུ	bdud rtsi ril bu
བདུད་རྩི་ལ་སོགས་པ་རྩི་སྨན་དུ་གཏོགས་པའི་མིང་ལ	bdud rtsi la sogs pa rtsi sman du gtogs pa'i ming la
བདུད་རྩི་གསལ་བ	bdud rtsi gsal ba
བདུད་རྩིའི་ཁུ་བ	bdud rtsi'i khu ba
བདུད་རྩིའི་འཁྱིལ་བ	bdud rtsi'i 'khyil ba
བདུད་རྩིའི་གྲོང་ཁྱེར	bdud rtsi'i grong khyer
བདུད་རྩིའི་བཅུད་བལྟམས་མེ་ཏོག་མཚན	bdud rtsi'i bcud bltams me tog mtshan
བདུད་རྩིའི་ཆར་འབེབས་ངོས་བཟང་ཞབས	bdud rtsi'i char 'bebs ngos bzang zhabs
བདུད་རྩིའི་ཆར་འབེབས་སྙིང་པོ་འཕགས	bdud rtsi'i char 'bebs snying po 'phags
བདུད་རྩིའི་ཆུ་ཡིས	bdud rtsi'i chu yis
བདུད་རྩིའི་ཆོས	bdud rtsi'i chos
བདུད་རྩིའི་བདག་པོ	bdud rtsi'i bdag po
བདུད་རྩིའི་བུམ་པ	bdud rtsi'i bum pa
བདུད་རྩིའི་དབང་པོ	bdud rtsi'i dbang po
བདུད་རྩིའི་འོད	bdud rtsi'i 'od
བདུད་རྩིར་མཚུངས	bdud rtsir mtshungs
བདུད་རྩུའི་མ	bdud rtsu'i ma
འོད་ཟེར་ཅན་⟨~~⟩	'od zer can [⟨~~⟩]
བདུད་རྩེ	bdud rtse
བདུད་ཚར་གཅོད་པའི་སྟོབས་བསྐྱེད་པ	bdud tshar gcod pa'i stobs bskyed pa
བདུད་ཚོགས་ཀུན་རྒྱལ་རྣམ་པར་བཅོམ	bdud tshogs kun rgyal rnam par bcom
བདུད་བཞི་ཀུན་བཏུལ་སྟོབས་ཀྱི་སྡེ	bdud bzhi kun btul stobs kyi sde
བདུད་བཞི་རབ་བཏུལ་བསྙེངས་བ་བྲལ	bdud bzhi rab btul bsnyengs ba bral
བདུད་བཞི་རབ་བརྟུལ་སེང་གེའི་སྟབས	bdud bzhi rab brtul seng ge'i stabs
བདུད་བཞི་ལས་རྒྱལ་སྐར་རྒྱལ་ཞབས	bdud bzhi las rgyal skar rgyal zhabs
བདུད་བཞི་ལས་རྒྱལ་འཇིགས་མཛད་མཚན	bdud bzhi las rgyal 'jigs mdzad mtshan
བདུད་བཞི་ལས་རྒྱལ་སྟོབས་བྱིན་མཚན	bdud bzhi las rgyal stobs byin mtshan
བདུད་ཟིལ་གྱིས་གནོན	bdud zil gyis gnon
བདུད་རླགས་པར་མཛད་པ	bdud rlags par mdzad pa
བདུད་ལས་རྣམ་རྒྱལ་བསྙིངས་བྲལ་མཚན	bdud las rnam rgyal bsnyings bral mtshan
ཞག་བདུན	zhag bdun
ལན་བདུན་བདུན་དུ	lan bdun bdun du
བདུན་གྱི་བདུན་པ	bdun gyi bdun pa
བདུན་བརྒྱ་པ	bdun brgya pa
བདུན་ཅུ་པ	bdun cu pa
བདུན་བཅུ་རྩ་དགུ	bdun bcu rtsa dgu
བདུན་བཅུ་རྩ་བརྒྱད	bdun bcu rtsa brgyad
བདུན་བཅུ་རྩ་ལྔ	bdun bcu rtsa lnga
བདུན་བཅུ་རྩ་གཅིག	bdun bcu rtsa gcig
བདུན་བཅུ་རྩ་གཉིས	bdun bcu rtsa gnyis
བདུན་བཅུ་རྩ་དྲུག	bdun bcu rtsa drug
བདུན་བཅུ་རྩ་བདུན	bdun bcu rtsa bdun
བདུན་བཅུ་རྩ་བཞི	bdun bcu rtsa bzhi
བདུན་བཅུ་རྩ་གསུམ	bdun bcu rtsa gsum
བདུན་མཐོ་བ	bdun mtho ba
བདུན་དུ་རྒྱུ་བ	bdun du rgyu ba
བྱང་ཆུབ་ཡན་ལག་⟨~~⟩	byang chub yan lag [⟨~~⟩]
རིན་པོ་ཆེ་སྣ་⟨~~dag⟩	rin po che sna [⟨~~dag⟩]
བདུན་པོ་པ	bdun po pa
བདུན་ཚིགས་ཀྱི་ཆོ་ག	bdun tshigs kyi cho ga
ཕན་དང་བདེ	phan dang bde
བདེ་སྐྱིད	bde skyid
བདེ་སྐྱེད	bde skyed
བདེ་འགྲོ་ཅན	bde 'gro can
བདེ་འགྲོ་མཐོ་རིས་ཀྱི་འཇིག་རྟེན	bde 'gro mtho ris kyi 'jig rten
བདེ་འགྲོའི་སྲོག	bde 'gro'i srog
བདེ་སྒྲུབ་མ	bde sgrub ma
བདེ་ཆེན་མཁའ་ལ་སྤྱོད་པའི་ཡུམ	bde chen mkha' la spyod pa'i yum
བདེ་ཆེན་པོ	bde chen po
བདེ་ཆེན་རལ་གཅིག	bde chen ral gcig
བདེ་⟨[mchog⟩། ⟨mchogs]⟩་དཀར་པོ	bde [⟨\[mchog⟩]/[ ⟨mchogs\]⟩] dkar po
བདེ་མཆོག་དཀར་པོ་ཚེ་སྒྲུབ	bde mchog dkar po tshe sgrub
བདེ་མཆོག་མཁའི་འགྲོ་རྒྱ་མཚོའི་རྒྱུད	bde mchog mkha'i 'gro rgya mtsho'i rgyud
བདེ་མཆོག་འཁོར་ལོའི་མངོན་པར་རྟོགས་པའི་དཀའ་འགྲེལ	bde mchog 'khor lo'i mngon par rtogs pa'i dka' 'grel
བདེ་མཆོག་འཁོར་ལོའི་ཆོ་ག་ཡིད་འོང་ཕྲེང་བ	bde mchog 'khor lo'i cho ga yid 'ong phreng ba
བདེ་མཆོག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག	bde mchog gi dkyil 'khor gyi cho ga
བདེ་མཆོག་གི་རྒྱ་ཆེར་བཤད་པ་ཚིག་དོན་རབ་ཏུ་གསལ	bde mchog gi rgya cher bshad pa tshig don rab tu gsal
བདེ་མཆོག་གི་སྦྱིན་སྲེག་སྤྱིའི་གསལ་བྱེད	bde mchog gi sbyin sreg spyi'i gsal byed
བདེ་མཆོག་མངོན་འབྱུང	bde mchog mngon 'byung
བདེ་མཆོག་རྡོ་རྗེ་མཁའ་ལྡིང	bde mchog rdo rje mkha' lding
བདེ་མཆོག་རྡོ་རྗེ་སེམས་དཔའ	bde mchog rdo rje sems dpa'
